FITC-A_raw,FSC-A,Normalised_FITC_A,FITC_fluorescence
77.5,20689.47,2136.9917,9.710293
21.699999,11029.86,598.3576,4.6252093
182.9,25568.43,5043.3,19.453075
179.79999,16565.67,4957.8203,30.033422
24.8,8172.7803,683.8373,7.6762257
182.9,16494.33,5043.3,30.705017
49.6,21578.61,1367.6746,5.5721455
147.25,16748.37,4060.284,24.13806
93.0,14119.23,2564.39,17.833061
145.7,22649.58,4017.5442,17.392822
83.7,11441.37,2307.951,19.916857
6.2,3557.43,170.95932,3.9831538
44.949997,21312.39,1239.4551,5.0304055
43.399998,11943.36,1196.7152,9.389919
137.95,14268.87,3803.845,26.64274
43.399998,11665.83,1196.7152,9.637095
83.7,8574.72,2307.951,26.909658
10685.699,41719.98,294648.38,731.3317
110.049995,18497.94,3034.5278,16.010445
243.34999,22083.21,6710.1533,30.507801
-4.6499996,13340.58,-128.21948,-1.9966145
27.9,11892.03,769.31696,5.708064
159.65,21718.68,4402.2026,20.017666
190.65,37128.12,5256.999,13.681918
80.6,18902.49,2222.4712,11.191721
176.7,42137.582,4872.341,10.98991
404.55,58101.21,11155.096,18.908384
117.799995,16679.64,3248.227,19.193312
1016.8,18270.87,28037.33,158.12021
165.84999,14966.61,4573.1616,30.68407
137.95,20846.07,3803.845,17.921104
40.3,25828.56,1111.2356,3.4612217
34.1,24888.09,940.27625,2.917525
145.7,20706.87,4017.5442,19.11843
15098.55,75883.14,416328.7,567.9039
170.5,24708.0,4701.3813,18.730394
43099.297,35266.32,1188423.6,3493.2905
48.05,16489.11,1324.9348,7.3319216
69.75,20861.73,1923.2925,8.5596695
15.5,9782.28,427.39832,3.5304422
52.699997,8469.45,1453.1542,16.791164
148.79999,19750.74,4103.0234,20.54113
-32.55,7203.6,-897.53644,-13.919639
94.549995,17315.61,2607.1296,14.61251
133.3,19732.47,3675.6257,18.315132
71.299995,11084.67,1966.0321,17.39144
85.25,14134.89,2350.6907,16.244513
35.649998,11704.11,983.01605,7.709036
41.85,17427.84,1153.9755,5.865954
116.25,14908.32,3205.4873,21.295296
116.25,16215.061,3205.4873,19.49856
241.79999,16401.24,6667.4136,41.15301
20.15,6244.86,555.6178,8.225742
103.85,19380.12,2863.5686,14.321421
34.1,12548.88,940.27625,6.7695947
55090.098,42884.91,1519059.0,3671.9753
36006.5,53308.38,992846.3,1930.2319
548.7,21067.92,15129.901,73.466736
60.449997,21910.95,1666.8534,6.888312
82.149994,11985.99,2265.211,18.596685
257.3,20420.64,7094.812,35.02628
12.4,12231.33,341.91864,1.898658
37.199997,8586.03,1025.7559,11.38795
141.05,17175.541,3889.3247,22.480734
44.949997,14182.74,1239.4551,8.061885
100.75,20037.84,2778.089,13.376168
85.25,15534.72,2350.6907,14.690614
268.15,42044.49,7393.9907,17.235502
106.95,20641.62,2949.0483,13.814466
12.4,11305.65,341.91864,2.1359932
168.95,17468.73,4658.6416,26.653229
71.299995,10608.78,1966.0321,18.216444
60.449997,20779.95,1666.8534,7.3176527
18.599998,13259.67,512.8779,3.0107832
119.35,23089.8,3290.967,13.779211
