time_point,tube,filename,x,y
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1231.2312312312313,0.9270473314040178
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1241.2412412412411,1.0047855990749877
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1251.2512512512512,1.0429732647916905
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1261.2612612612613,1.0280078677483653
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1271.2712712712712,1.042515709367814
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1281.2812812812813,1.0304199923919772
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1291.2912912912914,0.9913140023817749
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1301.3013013013012,1.0119547289239184
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1311.3113113113113,1.0821785646572164
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1321.3213213213214,1.1185604646148082
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1331.3313313313313,1.1035763382956285
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1341.3413413413414,1.090508191523944
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1351.3513513513512,1.1659632522135714
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1361.3613613613613,1.2661645391647098
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1371.3713713713714,1.4148751580177392
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1381.3813813813813,1.6323245170908691
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1391.3913913913914,1.7308853892929361
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1401.4014014014015,1.732586225880254
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1411.4114114114113,1.7332040513337577
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1421.4214214214214,1.5323435125493179
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1431.4314314314315,1.242835094671669
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1441.4414414414414,1.1281679498366302
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1451.4514514514515,1.227084835324827
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1461.4614614614616,1.4645365244867112
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1471.4714714714714,1.6836995624600088
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1481.4814814814815,1.7585703455661668
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1491.4914914914914,1.6614520539803639
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1501.5015015015015,1.6603929606850443
10h,Tube_010,Specimen_001_Tube_010_010.fcs,1511.5115115115116,1.7855706554872812
