FITC-A_raw,FSC-A,Normalised_FITC_A,FITC_fluorescence
32.55,10994.19,897.53644,7.46519
15.5,7073.1,427.39832,5.2657185
16126.199,30639.66,444665.2,1503.8634
15.5,19024.291,427.39832,1.3295507
23.25,7410.66,641.0975,7.9704676
119.35,12785.5205,3290.967,25.690273
63.55,9130.65,1752.3331,18.900448
15.5,10223.37,427.39832,3.3349748
26.349998,20904.36,726.5771,2.604066
6.2,8219.76,170.95932,1.1566594
52.699997,11147.311,1453.1542,12.517285
161.2,20269.26,4444.9424,21.73925
226.29999,23497.83,6240.015,26.536312
-20.15,10720.14,-555.6178,-6.3743205
99.2,15489.48,2735.349,17.311495
48.05,31879.41,1324.9348,3.3095517
220.09999,19744.65,6069.0557,30.872751
23.25,15105.811,641.0975,3.4007626
127.1,14086.17,3504.6663,24.798925
4701.15,17215.56,129629.91,779.7858
255.74998,14956.17,7052.072,47.892723
57.35,17507.01,1581.3738,8.366351
308.44998,38137.32,8505.227,22.1251
96.1,16184.61,2649.8696,15.977358
-26.349998,15684.36,-726.5771,-5.803555
106.95,12807.2705,2949.0483,22.876638
266.6,20326.68,7351.2515,36.500988
203.04999,19946.49,5598.9175,28.106195
-20.15,13744.26,-555.6178,-5.19182
29.449999,21027.9,812.05676,3.0044084
9.299999,10247.73,256.43896,1.5948019
446.4,25413.57,12309.071,49.223557
4216.0,14341.95,116252.34,839.50714
41.85,14910.93,1153.9755,7.0249023
127.1,20566.8,3504.6663,16.669645
359.59998,20408.46,9915.641,49.380028
26.349998,13525.89,726.5771,4.57011
97.649994,24293.01,2692.6094,10.493172
99.2,12048.63,2735.349,22.540895
69.75,6112.62,1923.2925,31.626148
54.25,8126.67,1495.8942,18.086933
122.45,18390.93,3376.4465,18.037245
35924.348,43360.8,990581.0,2367.8665
40.3,17662.74,1111.2356,5.5237293
133.3,17095.5,3675.6257,21.294481
57.35,20980.05,1581.3738,6.815844
44.949997,10969.83,1239.4551,10.715984
178.25,21364.59,4915.0806,22.85525
40.3,26022.57,1111.2356,3.4279613
74.399994,18190.83,2051.5117,10.694169
41.85,17642.73,1153.9755,5.7823257
32.55,13309.26,897.53644,5.992719
40.3,9353.37,1111.2356,11.319297
103.85,23214.21,2863.5686,11.790913
69.75,21303.69,1923.2925,8.361347
99.2,15517.32,2735.349,17.278643
46245.797,47861.31,1275185.5,2761.7188
-4.6499996,22020.57,-128.21948,-1.6037725
117.799995,19685.49,3248.227,16.109922
16895.0,27480.69,465864.16,1756.841
128.65,20752.98,3547.406,16.724674
226.29999,44280.39,6240.015,13.612417
220.09999,32005.56,6069.0557,18.662718
186.0,20279.7,5128.78,25.224089
27.9,9864.06,769.31696,7.087187
-6.2,19791.63,-170.95932,-1.8956928
29.449999,21987.51,812.05676,2.8296425
13.95,14914.41,384.65848,1.6743429
52.699997,13252.71,1453.1542,10.369853
113.149994,19787.28,3120.0076,15.349989
13.95,7411.5303,384.65848,4.381648
-6.2,25384.86,-170.95932,-1.6983383
35.649998,7246.23,983.01605,13.066834
466.55,38803.74,12864.689,33.377445
10.849999,21097.5,299.1788,0.47044134
106.95,20672.94,2949.0483,13.792022
18.599998,21449.85,512.8779,1.4793487
15.5,12182.61,427.39832,2.6378124
178.25,23080.23,4915.0806,21.081999
72.85,24259.95,2008.7721,7.5859556
-4.6499996,14290.62,-128.21948,-1.9303596
18.599998,19884.72,512.8779,1.6744986
23.25,26277.48,641.0975,1.5298119
258.85,20210.97,7137.5522,35.619297
244.9,25403.13,6752.893,26.564526
88.35,16463.88,2436.1704,14.34346
133.3,17221.65,3675.6257,21.13117
85.25,16178.5205,2350.6907,14.066228
71.299995,24857.64,1966.0321,7.2012224
6.2,15264.15,170.95932,0.16136312
257.3,16234.2,7094.812,44.316658
3.1,20604.21,85.47966,-0.5698156
114.7,15666.09,3162.7476,19.933979
124.0,14448.96,3419.1865,23.537712
4805.0,19312.26,132493.48,710.3926
23.25,8178.87,641.0975,7.127905
63.55,16551.75,1752.3331,9.977935
52.699997,13209.21,1453.1542,10.407297
122.45,19414.92,3376.4465,17.033173
119.35,18123.84,3290.967,17.828737
41.85,16155.9,1153.9755,6.4065046
7210.5996,16370.79,198825.69,1258.3624
559.55,13058.7,15429.079,121.514626
13.95,24129.45,384.65848,0.6530111
34.1,16857.99,940.27625,4.7835903
147.25,37691.88,4060.284,10.170085
1452.35,13097.85,40047.223,316.04456
116.25,10116.36,3205.4873,31.856224
40.3,16062.811,1111.2356,6.173523
7.75,11419.62,213.69916,0.9404347
68.2,9464.73,1880.5525,19.602745
148.79999,16784.91,4103.0234,24.347366
-3.1,11040.3,-85.47966,-1.8028414
-23.25,8981.01,-641.0975,-8.40196
82.149994,12639.36,2265.211,17.583668
119.35,14914.41,3290.967,21.880491
43.399998,10380.84,1196.7152,10.953806
-21.699999,8162.34,-598.3576,-8.601408
128.65,16322.07,3547.406,21.536348
68.2,33560.25,1880.5525,4.8104286
187.54999,20363.22,5171.5195,25.334167
26.349998,14445.48,726.5771,4.2155194
113.149994,18428.34,3120.0076,16.555666
-20.15,6158.73,-555.6178,-10.354765
9379.05,21585.57,258618.72,1241.351
7.75,15435.54,213.69916,0.4355849
221.65,16857.12,6111.796,36.595284
167.4,15715.68,4615.902,29.455889
-15.5,11216.04,-427.39832,-4.95131
221.65,15007.5,6111.796,41.228764
457.25,31484.43,12608.25,40.524734
22690.45,47756.91,625668.4,1357.4882
3191.45,11633.64,88001.31,783.3708
69.75,22519.95,1923.2925,7.8557587
9.299999,12626.311,256.43896,1.1059859
165.84999,25053.39,4573.1616,17.927704
41.85,5996.91,1153.9755,18.9534
127.1,12398.37,3504.6663,28.310955
170.5,18375.27,4701.3813,25.530148
217.0,19245.27,5983.5767,31.239239
7889.5,17119.86,217545.75,1316.6447
31.0,7250.58,854.79663,11.224692
544.05,22915.8,15001.681,66.88171
201.5,24643.621,5556.178,22.378654
28530.85,58378.742,786712.06,1396.3622
170.5,22371.18,4701.3813,20.791368
93.0,18551.01,2564.39,13.3338995
7.75,5526.24,213.69916,3.0097833
7185.8,16981.53,198141.86,1208.894
66.65,11369.16,1837.8129,15.761805
179.79999,22205.88,4957.8203,22.151049
74.399994,21149.7,2051.5117,9.058141
124.0,22533.871,3419.1865,14.733845
127.1,19954.32,3504.6663,17.211998
54.25,8986.23,1495.8942,16.26121
4.6499996,9370.7705,128.21948,0.41881764
410.75,19707.24,11326.056,58.593754
133.3,17788.02,3675.6257,20.426517
-23.25,17004.15,-641.0975,-4.909462
13.95,10330.38,384.65848,2.861063
168.95,10683.6,4658.6416,44.215733
30252.898,88262.37,834196.0,979.03235
57.35,12125.19,1581.3738,12.523648
114.7,18441.39,3162.7476,16.783562
452.59998,15393.78,12480.03,83.06558
31.0,24419.16,854.79663,2.629777
-43.399998,9150.66,-1196.7152,-14.56083
-37.199997,13324.05,-1025.7559,-8.982807
13.95,16829.28,384.65848,1.3700509
418.5,30864.121,11539.755,37.76953
26.349998,10078.08,726.5771,6.4756985
0.0,13509.36,0.0,-1.0
165.84999,15567.78,4573.1616,29.460548
72.85,8440.74,2008.7721,23.67732
46.5,18624.09,1282.195,6.1388273
179.79999,20553.75,4957.8203,24.011951
31.0,8586.9,854.79663,9.3222475
685.1,20598.99,18891.006,94.09486
38.75,15710.46,1068.4958,6.0523167
89.899994,9109.7705,2478.9102,27.216377
89.899994,13224.87,2478.9102,18.436464
82.149994,18694.56,2265.211,11.564386
6125.5996,31236.48,168907.81,559.70636
224.75,25562.34,6197.276,24.139006
136.4,18881.61,3761.105,19.654959
23.25,9517.8,641.0975,5.9845014
24.8,13165.71,683.8373,4.385876
1398.1,16580.46,38551.33,240.09634
226.29999,16958.041,6240.015,37.155563
164.29999,23523.06,4530.422,18.970673
72.85,18662.37,2008.7721,10.161222
217.0,13834.74,5983.5767,43.847446
15721.649,26572.41,433510.1,1690.6719
168.95,22071.03,4658.6416,20.886917
24.8,15682.62,683.8373,3.5214944
384.4,18858.99,10599.479,57.279247
31.0,19245.27,854.79663,3.6056051
221.65,23597.01,6111.796,25.85714
93.0,31433.97,2564.39,7.4592657
21.699999,19433.19,598.3576,2.1927476
60.449997,11456.16,1666.8534,14.087115
164.29999,15665.22,4530.422,28.988174
114.7,18987.75,3162.7476,16.271852
94.549995,15854.01,2607.1296,16.051846
26.349998,15694.8,726.5771,3.8003602
23581.7,24995.97,650243.8,2696.4543
82.149994,22598.25,2265.211,9.393976
161.2,22036.23,4444.9424,19.915909
153.45,18515.34,4231.243,22.696499
38.75,8280.66,1068.4958,12.379989
376.65,21161.01,10385.779,49.892124
49.6,15048.39,1367.6746,8.424116
153.45,15987.12,4231.243,26.443888
44.949997,18755.46,1239.4551,5.85253
9.299999,19365.33,256.43896,0.37311518
547.14996,16675.291,15087.16,92.81709
63.55,16844.07,1752.3331,9.787418
254.2,23559.6,7009.3325,29.850103
246.45,14899.62,6795.6333,46.29363
144.15,17888.94,3974.8042,22.039816
-31.0,7082.67,-854.79663,-13.514505
-29.449999,18235.2,-812.05676,-5.617679
130.2,51081.18,3590.1458,6.287843
540.95,58216.05,14916.202,25.568277
1.55,11122.08,42.73983,-0.6015309
74.399994,17213.82,2051.5117,11.357898
210.79999,36422.55,5812.6167,15.54814
19508.299,31613.19,537923.5,1763.4122
110.049995,9621.33,3034.5278,31.704227
38.75,14026.14,1068.4958,6.8991895
275.9,33584.61,7607.69,22.488775
136.4,22099.74,3761.105,16.647215
34.1,16987.62,940.27625,4.7394576
190.65,17245.14,5256.999,30.609602
83.7,15077.97,2307.951,14.871998
24.8,16217.67,683.8373,3.3723226
-18.599998,7175.7603,-512.8779,-8.411293
308.44998,9750.09,8505.227,89.45345
-15.5,25535.371,-427.39832,-2.7355556
34.1,20424.12,940.27625,3.7737536
12.4,15198.03,341.91864,1.3328314
96.1,24817.621,2649.8696,10.071648
8941.95,31048.56,246566.1,822.4548
-4.6499996,14310.63,-128.21948,-1.9290588
136.4,18008.13,3761.105,20.65682
111.6,16931.94,3077.2678,17.845448
164.29999,18319.59,4530.422,24.643116
34.1,19016.46,940.27625,4.127122
38.75,12836.85,1068.4958,7.6310234
3.1,16001.91,85.47966,-0.44609046
13.95,8434.65,384.65848,3.728856
63.55,18571.89,1752.3331,8.783819
229.4,20457.18,6325.495,31.062447
58.899998,25638.9,1624.1135,5.56848
38.75,5755.92,1068.4958,18.248901
41.85,13554.6,1153.9755,7.8279076
35.649998,18856.38,983.01605,4.405678
51.149998,15787.0205,1410.4144,8.263912
38.75,17490.48,1068.4958,5.334597
65.1,19190.46,1795.0729,8.699392
18.599998,26182.65,512.8779,1.0311794
139.5,9884.07,3846.585,39.354073
1.55,6219.63,42.73983,-0.2874487
237.15,14441.13,6539.1943,45.95382
82.149994,20990.49,2265.211,10.1901
162.75,29058.0,4487.682,15.014162
18.599998,19295.73,512.8779,1.7561362
21.699999,17472.21,598.3576,2.551083
97.649994,15385.08,2692.6094,17.147694
0.0,18666.72,0.0,-1.0
