file_path,subfolder,filename,mean_FSC-A,mean_SSC-A,mean_FITC-A,mean_PE-A,mean_PerCP-Cy5-5-A,mean_PE-Cy7-A,mean_APC-A,mean_APC-Cy7-A,mean_Pacific Blue-A,mean_V500-A,mean_Time,,0.009643887,,,subfolder,,,,,,
20250527 HUMSEplus 6 in 4xynb 40g glucose 24h\Specimen_001_Tube_004_004.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose 24h,Specimen_001_Tube_004_004.fcs,28752.697,375.86212,5380.308,45999.234,8242.135,1296.8333,1448.3597,147.70876,2338.3574,18927.121,524.6858,,148357.0746,5.159762041,534.0292928,20250527 HUMSEplus 6 in 4xynb 40g glucose 24h,,339.6783203,,,,534.6828769
20250527 HUMSEplus 6 in 4xynb 40g glucose 24h\Specimen_001_Tube_005_005.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose 24h,Specimen_001_Tube_005_005.fcs,29236.541,394.4835,5901.377,49647.78,8632.084,1319.2648,1446.6769,142.96878,2274.0374,19806.57,375.2648,,162725.0759,5.565811492,576.133628,20250527 HUMSEplus 6 in 4xynb 40g glucose 24h,,387.8307128,,,,543.5139611
20250527 HUMSEplus 6 in 4xynb 40g glucose 24h\Specimen_001_Tube_006_006.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose 24h,Specimen_001_Tube_006_006.fcs,29975.574,398.60913,5920.916,48094.17,8891.422,1413.6046,1612.25,164.44592,2638.355,20115.89,560.37726,,163263.8459,5.44656279,563.7684165,20250527 HUMSEplus 6 in 4xynb 40g glucose 24h,,489.4560603,,,,339.6783203
20250527 HUMSEplus 6 in 4xynb 40g glucose48 h\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose48 h,Specimen_001_Tube_001_001.fcs,39776.23,589.735,3432.9187,33049.926,6016.3784,1095.8336,1341.6384,143.50864,2371.4875,13914.71,1252.2432,,94659.59486,2.379803085,245.7680392,20250527 HUMSEplus 6 in 4xynb 40g glucose48 h,,643.4354891,,,,
20250527 HUMSEplus 6 in 4xynb 40g glucose48 h\Specimen_001_Tube_002_002.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose48 h,Specimen_001_Tube_002_002.fcs,37279.203,548.0222,3679.8728,31364.365,6264.532,1156.9094,1316.3262,143.24094,2409.5732,14429.296,1207.7896,,101469.1284,2.721869575,281.2378129,20250527 HUMSEplus 6 in 4xynb 40g glucose48 h,,645.2538478,,,,387.8307128
20250527 HUMSEplus 6 in 4xynb 40g glucose48 h\Specimen_001_Tube_003_003.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose48 h,Specimen_001_Tube_003_003.fcs,38649.6,555.71716,4126.089,38645.83,7306.4688,1415.018,1356.2194,156.48132,2477.2937,16341.552,1171.05,,113773.1322,2.943707883,304.2408104,20250527 HUMSEplus 6 in 4xynb 40g glucose48 h,,883.3301181,,,,489.4560603
20250527 HUMSEplus 6 in 4xynb 40g glucose48 h\Specimen_001_Tube_004_004.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose48 h,Specimen_001_Tube_004_004.fcs,34167.02,459.9769,2981.2893,30886.262,5319.9937,1044.43,1100.392,125.34305,1898.2648,12296.188,1597.9987,,82206.32703,2.406013958,248.4859135,20250527 HUMSEplus 6 in 4xynb 40g glucose48 h,,909.5305344,,,,643.4354891
20250527 HUMSEplus 6 in 4xynb 40g glucose48 h\Specimen_001_Tube_005_005.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose48 h,Specimen_001_Tube_005_005.fcs,35125.223,479.63525,2753.0923,28728.623,4766.0127,893.2583,1073.1425,117.55369,1865.941,11291.233,974.2922,,75914.00336,2.161239044,223.1045591,20250527 HUMSEplus 6 in 4xynb 40g glucose48 h,,483.3178046,,,,
20250527 HUMSEplus 6 in 4xynb 40g glucose48 h\Specimen_001_Tube_006_006.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose48 h,Specimen_001_Tube_006_006.fcs,34037.492,468.13486,2724.1023,28645.008,4899.2295,959.9235,1099.1497,123.0571,1875.7524,11376.518,1537.7238,,75114.63061,2.206820368,227.8310064,20250527 HUMSEplus 6 in 4xynb 40g glucose48 h,,,,,,645.2538478
20250527 HUMSEplus 6 in 4xynb 40g glucose72 h\Specimen_001_Tube_001_001.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose72 h,Specimen_001_Tube_001_001.fcs,37681.97,587.18494,2400.2822,23299.49,4628.2407,904.4626,1169.8486,129.62538,2323.5515,10591.697,1444.2606,,66185.58739,1.756425882,181.1284179,20250527 HUMSEplus 6 in 4xynb 40g glucose72 h,,,,,,883.3301181
20250527 HUMSEplus 6 in 4xynb 40g glucose72 h\Specimen_001_Tube_002_002.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose72 h,Specimen_001_Tube_002_002.fcs,39079.92,597.6608,2352.627,21283.934,4581.0312,935.6874,1284.9656,142.10559,2780.1367,10734.816,1017.3574,,64871.53881,1.659971126,171.1267707,20250527 HUMSEplus 6 in 4xynb 40g glucose72 h,,,,,,909.5305344
20250527 HUMSEplus 6 in 4xynb 40g glucose72 h\Specimen_001_Tube_003_003.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose72 h,Specimen_001_Tube_003_003.fcs,37832.863,581.16705,2099.0083,21255.86,4096.0234,860.8107,1149.199,128.01552,2388.8225,9766.752,1631.5118,,57878.23501,1.529840208,157.6331536,20250527 HUMSEplus 6 in 4xynb 40g glucose72 h,,,,,,
20250527 HUMSEplus 6 in 4xynb 40g glucose72 h\Specimen_001_Tube_004_004.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose72 h,Specimen_001_Tube_004_004.fcs,31886.295,441.95166,1399.239,15814.853,2973.4084,659.9895,909.7577,105.81328,1740.8383,7126.044,2783.4795,,38582.73627,1.210010014,124.4691199,20250527 HUMSEplus 6 in 4xynb 40g glucose72 h,,,,,,483.3178046
20250527 HUMSEplus 6 in 4xynb 40g glucose72 h\Specimen_001_Tube_005_005.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose72 h,Specimen_001_Tube_005_005.fcs,27820.14,373.74188,1255.6862,14299.878,2578.0374,571.4184,740.2313,86.94365,1475.467,6186.4385,2068.485,,34624.39905,1.244580331,128.0538069,20250527 HUMSEplus 6 in 4xynb 40g glucose72 h,,,,,,
20250527 HUMSEplus 6 in 4xynb 40g glucose72 h\Specimen_001_Tube_006_006.fcs,20250527 HUMSEplus 6 in 4xynb 40g glucose72 h,Specimen_001_Tube_006_006.fcs,28279.562,386.70966,1337.2411,15913.21,2919.641,679.2324,783.0458,97.39777,1530.0286,6827.238,2834.2666,,36873.20086,1.303881611,134.2029126,20250527 HUMSEplus 6 in 4xynb 40g glucose72 h,,,,,,
